Height,BMI,Sex,Weight
184.4,28.13,Male,95.7
186.2,24.11,Male,83.6
173.3,25.29,Male,76.0
180.4,26.16,Male,85.1
177.8,33.22,Male,105.0
187.6,32.42,Male,114.1
175.7,33.3,Male,102.8
188.3,27.12,Male,96.2
169.1,27.2,Male,77.8
190.6,31.73,Male,115.3
170.2,29.91,Male,86.6
179.6,23.85,Male,76.9
180.5,23.77,Male,77.4
186.8,28.0,Male,97.7
189.9,39.63,Male,142.9
171.7,29.26,Male,86.3
171.8,27.35,Male,80.7
186.9,26.37,Male,92.1
173.4,22.08,Male,66.4
178.9,28.65,Male,91.7
179.4,28.78,Male,92.6
179.6,20.93,Male,67.5
185.5,25.46,Male,87.6
169.5,27.43,Male,78.8
181.2,34.41,Male,113.0
170.5,26.61,Male,77.4
176.4,26.33,Male,81.9
179.9,25.89,Male,83.8
170.0,29.88,Male,86.4
167.5,32.54,Male,91.3
171.4,25.72,Male,75.6
175.9,24.87,Male,76.9
181.6,30.04,Male,99.1
179.4,32.14,Male,103.4
188.3,24.39,Male,86.5
181.8,23.75,Male,78.5
192.2,30.94,Male,114.3
183.4,24.77,Male,83.3
186.7,27.75,Male,96.7
187.0,30.23,Male,105.7
185.4,30.37,Male,104.4
193.2,27.54,Male,102.8
186.1,25.78,Male,89.3
173.1,29.09,Male,87.2
186.7,28.76,Male,100.2
188.3,24.11,Male,85.5
166.8,31.91,Male,88.8
182.0,34.26,Male,113.5
174.7,31.55,Male,96.3
164.7,27.89,Male,75.7
177.4,25.6,Male,80.6
202.5,24.35,Male,99.9
178.0,27.39,Male,86.8
184.4,24.01,Male,81.6
178.6,32.12,Male,102.5
185.5,33.06,Male,113.8
180.2,34.43,Male,111.8
175.8,31.91,Male,98.6
173.3,32.37,Male,97.2
184.0,32.5,Male,110.0
168.2,25.54,Male,72.3
177.8,30.72,Male,97.1
179.8,33.14,Male,107.1
181.5,26.57,Male,87.5
177.8,26.31,Male,83.2
188.2,26.2,Male,92.8
178.5,28.62,Male,91.2
183.6,25.77,Male,86.9
169.6,31.56,Male,90.8
189.6,28.31,Male,101.8
194.4,27.58,Male,104.2
174.9,30.55,Male,93.5
181.8,31.62,Male,104.5
181.8,28.72,Male,94.9
184.3,23.0,Male,78.1
180.8,26.21,Male,85.7
194.5,27.65,Male,104.6
188.0,31.19,Male,110.2
185.9,23.72,Male,82.0
178.5,28.41,Male,90.5
186.3,28.86,Male,100.2
184.6,29.62,Male,100.9
189.2,27.95,Male,100.1
173.3,27.6,Male,82.9
187.2,31.55,Male,110.6
182.3,30.73,Male,102.1
170.5,25.91,Male,75.3
183.3,27.15,Male,91.2
191.2,32.42,Male,118.5
198.4,23.08,Male,90.8
186.7,24.3,Male,84.7
171.8,29.94,Male,88.4
182.0,23.14,Male,76.6
174.9,29.59,Male,90.5
173.7,30.31,Male,91.5
175.3,29.19,Male,89.7
185.3,26.27,Male,90.2
180.0,25.41,Male,82.3
181.0,30.61,Male,100.3
185.2,24.84,Male,85.2
184.0,27.26,Male,92.3
191.4,27.89,Male,102.2
171.9,20.37,Male,60.2
169.4,27.13,Male,77.9
171.3,30.76,Male,90.3
177.9,27.61,Male,87.4
167.5,28.35,Male,79.5
184.0,28.48,Male,96.4
187.9,24.71,Male,87.2
183.1,27.88,Male,93.5
176.2,29.49,Male,91.6
190.5,31.59,Male,114.6
183.7,26.79,Male,90.4
182.6,24.5,Male,81.7
181.1,24.38,Male,80.0
183.3,29.84,Male,100.3
178.4,32.19,Male,102.4
177.5,27.01,Male,85.1
177.1,33.27,Male,104.3
170.5,28.63,Male,83.2
180.0,25.7,Male,83.3
182.8,27.45,Male,91.7
174.0,21.9,Male,66.3
182.2,28.07,Male,93.2
190.2,28.17,Male,101.9
174.2,25.22,Male,76.5
197.0,28.87,Male,112.0
172.7,19.91,Male,59.4
169.5,29.07,Male,83.5
183.9,27.59,Male,93.3
181.1,26.75,Male,87.7
178.0,32.89,Male,104.2
180.7,25.66,Male,83.8
171.7,26.49,Male,78.1
184.3,27.39,Male,93.0
176.0,26.89,Male,83.3
178.6,28.39,Male,90.6
178.1,27.13,Male,86.1
187.6,28.81,Male,101.4
174.0,30.56,Male,92.5
183.2,25.97,Male,87.2
172.4,28.76,Male,85.5
185.9,24.88,Male,86.0
187.8,31.78,Male,112.1
173.4,23.26,Male,69.9
182.4,25.01,Male,83.2
183.6,26.39,Male,89.0
179.4,32.13,Male,103.4
165.3,29.37,Male,80.3
196.6,29.04,Male,112.2
176.0,24.5,Male,75.9
178.4,22.23,Male,70.8
176.8,22.69,Male,70.9
184.5,34.43,Male,117.2
189.8,26.81,Male,96.6
188.1,26.03,Male,92.1
187.6,19.31,Male,68.0
189.1,22.4,Male,80.1
178.7,32.66,Male,104.3
168.4,26.8,Male,76.0
175.4,21.21,Male,65.3
167.2,27.8,Male,77.7
180.6,25.07,Male,81.8
184.2,29.4,Male,99.8
184.7,21.94,Male,74.8
172.3,26.86,Male,79.7
190.5,27.62,Male,100.2
173.0,35.74,Male,107.0
171.2,31.45,Male,92.2
176.4,24.15,Male,75.1
180.0,22.62,Male,73.3
171.9,29.1,Male,86.0
180.7,27.61,Male,90.2
188.0,29.19,Male,103.2
174.2,37.35,Male,113.3
177.7,32.45,Male,102.5
181.7,27.82,Male,91.8
186.6,27.18,Male,94.6
169.4,31.1,Male,89.2
187.0,32.23,Male,112.7
178.8,27.75,Male,88.7
178.1,26.25,Male,83.3
176.3,30.01,Male,93.3
193.1,36.48,Male,136.0
171.4,26.99,Male,79.3
173.8,25.13,Male,75.9
168.9,26.25,Male,74.9
176.3,28.33,Male,88.1
191.5,32.22,Male,118.2
182.0,29.84,Male,98.8
167.7,29.7,Male,83.5
187.4,30.01,Male,105.4
178.1,31.43,Male,99.7
166.7,34.17,Male,95.0
179.8,29.78,Male,96.3
195.2,30.83,Male,117.5
178.4,28.66,Male,91.2
182.7,25.83,Male,86.2
176.5,24.05,Male,74.9
180.9,25.16,Male,82.3
187.1,29.95,Male,104.8
174.6,23.65,Male,72.1
183.2,20.77,Male,69.7
182.8,29.25,Male,97.7
177.5,28.02,Male,88.3
184.4,21.84,Male,74.3
170.9,31.95,Male,93.3
186.4,28.79,Male,100.0
174.2,30.54,Male,92.7
197.7,27.9,Male,109.0
178.6,23.21,Male,74.0
177.0,32.53,Male,101.9
175.8,33.88,Male,104.7
186.9,21.24,Male,74.2
184.7,31.2,Male,106.4
177.7,32.26,Male,101.9
169.5,27.38,Male,78.7
178.8,22.92,Male,73.3
180.3,27.54,Male,89.5
165.2,27.37,Male,74.7
177.4,36.13,Male,113.7
171.9,27.4,Male,81.0
190.8,18.87,Male,68.7
177.7,32.69,Male,103.2
192.6,26.81,Male,99.5
186.0,20.85,Male,72.1
176.3,22.59,Male,70.2
182.7,20.47,Male,68.3
180.3,27.18,Male,88.4
174.6,22.52,Male,68.7
198.2,25.03,Male,98.3
182.1,24.88,Male,82.5
176.7,27.7,Male,86.5
179.0,19.56,Male,62.7
186.5,25.72,Male,89.5
178.9,30.03,Male,96.1
177.5,32.84,Male,103.5
179.6,25.17,Male,81.2
185.7,27.71,Male,95.6
181.1,29.32,Male,96.2
182.0,34.4,Male,113.9
169.7,40.48,Male,116.6
184.5,28.01,Male,95.3
188.3,29.39,Male,104.2
184.8,28.49,Male,97.3
179.1,21.36,Male,68.5
166.4,25.22,Male,69.8
188.9,33.51,Male,119.6
185.4,24.27,Male,83.4
178.6,27.32,Male,87.1
183.3,31.69,Male,106.5
179.1,30.64,Male,98.3
166.7,30.46,Male,84.6
176.1,26.33,Male,81.7
194.0,24.02,Male,90.4
189.6,24.64,Male,88.6
186.7,31.52,Male,109.9
188.9,27.92,Male,99.6
189.2,31.36,Male,112.3
166.2,22.31,Male,61.6
181.8,27.13,Male,89.7
188.0,26.08,Male,92.2
176.2,25.89,Male,80.4
181.4,32.88,Male,108.2
180.0,24.87,Male,80.6
180.8,27.62,Male,90.3
187.0,31.27,Male,109.3
175.0,23.09,Male,70.7
167.3,25.36,Male,71.0
188.7,25.96,Male,92.4
179.3,33.52,Male,107.8
180.6,24.72,Male,80.6
183.3,29.33,Male,98.5
178.8,34.67,Male,110.8
183.5,28.9,Male,97.3
181.4,20.83,Male,68.5
183.2,28.31,Male,95.0
189.8,27.23,Male,98.1
191.6,28.43,Male,104.4
170.3,25.72,Male,74.6
182.6,30.01,Male,100.1
183.9,29.42,Male,99.5
172.3,24.86,Male,73.8
187.5,32.41,Male,113.9
182.8,24.34,Male,81.3
178.6,18.43,Male,58.8
187.5,32.66,Male,114.8
179.7,35.68,Male,115.2
180.5,34.04,Male,110.9
176.6,25.72,Male,80.2
181.1,27.54,Male,90.3
176.9,30.01,Male,93.9
182.7,24.29,Male,81.1
176.3,33.39,Male,103.8
170.4,33.45,Male,97.1
178.9,30.55,Male,97.8
170.3,32.26,Male,93.6
177.1,27.52,Male,86.3
187.2,28.71,Male,100.6
175.6,24.94,Male,76.9
180.2,21.45,Male,69.7
169.1,34.08,Male,97.5
186.6,32.54,Male,113.3
180.6,32.08,Male,104.6
178.0,27.38,Male,86.8
174.7,28.6,Male,87.3
185.5,24.0,Male,82.6
172.3,28.97,Male,86.0
177.4,32.12,Male,101.1
179.4,28.16,Male,90.6
190.1,29.99,Male,108.4
180.3,31.51,Male,102.4
181.1,31.97,Male,104.9
181.7,24.48,Male,80.8
190.0,27.23,Male,98.3
182.1,28.17,Male,93.4
177.4,26.97,Male,84.9
176.7,38.26,Male,119.5
170.7,25.49,Male,74.3
174.3,25.34,Male,77.0
189.5,27.52,Male,98.8
171.3,25.55,Male,75.0
183.9,18.3,Male,61.9
180.0,22.9,Male,74.2
180.2,24.32,Male,79.0
188.2,32.33,Male,114.5
188.6,25.12,Male,89.4
188.6,26.22,Male,93.3
180.8,27.5,Male,89.9
187.1,28.3,Male,99.1
192.0,26.38,Male,97.2
179.3,29.73,Male,95.6
176.4,29.47,Male,91.7
180.0,28.1,Male,91.0
192.7,32.21,Male,119.6
171.8,21.81,Male,64.4
177.3,28.52,Male,89.7
180.3,25.68,Male,83.5
189.3,22.74,Male,81.5
188.9,28.15,Male,100.4
181.2,29.54,Male,97.0
180.9,20.98,Male,68.7
181.8,24.7,Male,81.6
173.6,24.5,Male,73.8
170.5,32.0,Male,93.0
168.3,36.25,Male,102.7
178.6,23.21,Male,74.0
177.8,25.69,Male,81.2
178.2,22.43,Male,71.2
184.5,27.15,Male,92.4
187.4,24.38,Male,85.6
186.3,26.68,Male,92.6
181.2,34.57,Male,113.5
181.0,24.05,Male,78.8
189.2,27.84,Male,99.7
181.7,20.21,Male,66.7
179.7,30.64,Male,98.9
183.4,28.6,Male,96.2
180.6,33.15,Male,108.1
175.7,25.74,Male,79.5
192.4,24.09,Male,89.2
180.9,29.78,Male,97.5
174.9,25.2,Male,77.1
178.8,25.92,Male,82.9
186.4,30.19,Male,104.9
170.0,35.69,Male,103.1
178.5,21.37,Male,68.1
174.3,19.96,Male,60.6
176.0,30.13,Male,93.3
183.8,27.3,Male,92.2
166.5,28.65,Male,79.4
176.1,27.4,Male,85.0
187.8,24.94,Male,88.0
186.5,26.21,Male,91.2
183.8,22.88,Male,77.3
195.0,24.09,Male,91.6
180.0,36.22,Male,117.4
181.7,34.67,Male,114.5
185.4,30.04,Male,103.3
181.2,29.88,Male,98.1
188.9,29.76,Male,106.2
191.7,33.1,Male,121.6
182.8,36.4,Male,121.6
185.6,32.83,Male,113.1
189.4,28.15,Male,101.0
166.8,20.28,Male,56.4
182.1,25.92,Male,86.0
188.5,31.76,Male,112.9
179.9,25.32,Male,81.9
176.4,31.99,Male,99.5
180.0,30.92,Male,100.2
182.5,18.58,Male,61.9
179.8,30.44,Male,98.4
176.5,33.13,Male,103.2
188.4,26.77,Male,95.0
191.9,27.31,Male,100.6
184.6,21.17,Male,72.1
186.6,29.81,Male,103.8
178.7,25.12,Male,80.2
175.2,23.5,Male,72.1
175.5,27.07,Male,83.4
180.9,29.13,Male,95.3
176.5,28.8,Male,89.7
175.8,21.83,Male,67.5
185.4,24.9,Male,85.6
185.0,33.14,Male,113.4
175.4,30.33,Male,93.3
184.2,22.86,Male,77.6
176.5,29.01,Male,90.4
178.0,31.33,Male,99.3
182.3,24.33,Male,80.9
166.6,28.37,Male,78.7
183.1,27.37,Male,91.8
179.4,24.65,Male,79.3
174.4,29.25,Male,89.0
182.2,30.43,Male,101.0
174.7,30.59,Male,93.4
183.6,25.59,Male,86.3
177.8,30.35,Male,95.9
173.6,24.62,Male,74.2
181.9,29.18,Male,96.5
190.3,26.22,Male,95.0
176.6,28.82,Male,89.9
172.7,28.58,Male,85.2
182.8,22.24,Male,74.3
180.9,29.32,Male,95.9
192.3,25.5,Male,94.3
167.2,25.41,Male,71.0
177.5,22.87,Male,72.1
170.3,30.09,Male,87.3
185.8,30.37,Male,104.8
181.2,30.17,Male,99.1
181.5,29.79,Male,98.1
168.6,28.32,Male,80.5
182.9,24.73,Male,82.7
182.7,28.01,Male,93.5
185.7,29.11,Male,100.4
192.3,25.9,Male,95.8
177.5,22.38,Male,70.5
179.9,28.19,Male,91.2
179.1,22.28,Male,71.5
192.9,33.69,Male,125.4
178.1,29.63,Male,94.0
181.9,23.57,Male,78.0
177.1,19.82,Male,62.2
194.4,27.94,Male,105.6
169.5,31.54,Male,90.6
180.5,29.81,Male,97.1
180.5,29.23,Male,95.2
179.6,23.83,Male,76.9
176.0,25.69,Male,79.6
179.3,25.28,Male,81.3
187.6,28.83,Male,101.5
184.7,24.52,Male,83.6
181.7,29.15,Male,96.2
177.0,33.4,Male,104.6
186.9,32.11,Male,112.2
171.6,23.53,Male,69.3
182.4,28.56,Male,95.0
182.0,30.26,Male,100.2
179.4,29.92,Male,96.3
176.5,23.35,Male,72.7
188.9,42.89,Male,153.0
176.9,20.37,Male,63.7
175.4,27.81,Male,85.6
186.2,28.6,Male,99.2
182.9,23.9,Male,80.0
192.6,25.09,Male,93.1
188.1,23.6,Male,83.5
188.4,33.9,Male,120.3
191.5,26.85,Male,98.5
185.1,21.32,Male,73.0
185.2,25.04,Male,85.9
170.1,29.25,Male,84.6
181.8,21.95,Male,72.5
176.3,27.37,Male,85.1
176.2,29.52,Male,91.6
174.2,29.95,Male,90.9
177.3,28.66,Male,90.1
169.9,25.49,Male,73.6
172.9,23.81,Male,71.2
182.2,27.7,Male,92.0
188.2,32.28,Male,114.3
174.1,21.06,Male,63.8
192.7,28.31,Male,105.1
180.2,27.27,Male,88.6
183.6,25.4,Male,85.6
177.4,38.92,Male,122.5
182.3,30.07,Male,99.9
189.9,23.49,Male,84.7
177.1,30.06,Male,94.3
178.2,25.39,Male,80.6
189.8,23.28,Male,83.9
186.0,30.69,Male,106.2
180.2,28.41,Male,92.3
179.3,31.78,Male,102.2
176.0,27.05,Male,83.8
181.6,30.08,Male,99.2
190.7,28.05,Male,102.0
183.6,24.05,Male,81.1
169.3,23.27,Male,66.7
186.5,24.55,Male,85.4
179.0,29.66,Male,95.0
176.6,23.97,Male,74.8
198.9,26.08,Male,103.2
179.5,21.16,Male,68.2
180.7,24.47,Male,79.9
188.9,29.8,Male,106.3
201.9,31.03,Male,126.5
186.6,24.69,Male,86.0
178.0,25.53,Male,80.9
181.7,28.91,Male,95.4
180.7,30.9,Male,100.9
179.8,25.18,Male,81.4
170.3,29.66,Male,86.0
169.0,26.43,Male,75.5
184.3,23.69,Male,80.5
185.0,26.57,Male,90.9
185.6,31.04,Male,106.9
190.0,20.57,Male,74.3
176.5,31.88,Male,99.3
182.3,29.81,Male,99.1
185.4,32.99,Male,113.4
176.6,26.96,Male,84.1
184.6,25.83,Male,88.0
183.6,27.88,Male,94.0
172.5,20.68,Male,61.5
191.8,28.69,Male,105.5
178.5,35.69,Male,113.7
183.8,23.73,Male,80.2
177.6,34.39,Male,108.5
181.2,25.44,Male,83.5
172.7,23.76,Male,70.9
175.2,26.35,Male,80.9
180.5,27.47,Male,89.5
181.9,27.09,Male,89.6
170.1,27.68,Male,80.1
184.4,32.74,Male,111.3
184.6,24.04,Male,81.9
185.7,21.99,Male,75.8
187.6,24.42,Male,85.9
179.8,30.67,Male,99.2
188.1,31.77,Male,112.4
179.6,26.08,Male,84.1
175.3,36.05,Male,110.8
175.9,30.17,Male,93.3
167.2,27.41,Male,76.6
177.8,29.18,Male,92.2
179.1,23.12,Male,74.2
179.3,23.63,Male,76.0
191.7,29.4,Male,108.0
181.0,23.51,Male,77.0
195.6,28.19,Male,107.9
185.7,27.52,Male,94.9
188.7,38.87,Male,138.4
179.6,31.26,Male,100.8
177.6,32.31,Male,101.9
177.3,23.75,Male,74.7
183.5,29.78,Male,100.3
185.1,20.4,Male,69.9
167.5,28.8,Male,80.8
182.5,19.34,Male,64.4
178.1,20.5,Male,65.0
183.3,18.47,Male,62.1
182.4,27.9,Male,92.8
181.5,34.81,Male,114.7
176.2,27.31,Male,84.8
182.0,22.62,Male,74.9
189.5,28.67,Male,103.0
178.8,28.07,Male,89.7
178.7,27.11,Male,86.6
178.4,32.84,Male,104.5
177.7,32.88,Male,103.8
172.9,37.19,Male,111.2
185.4,18.84,Male,64.8
189.0,23.29,Male,83.2
185.4,29.3,Male,100.7
192.6,31.67,Male,117.5
175.9,18.96,Male,58.7
168.8,21.8,Male,62.1
202.0,25.02,Male,102.1
186.7,15.79,Male,55.0
172.1,26.34,Male,78.0
179.4,16.58,Male,53.4
178.8,32.25,Male,103.1
174.6,30.24,Male,92.2
174.3,24.68,Male,75.0
184.6,31.38,Male,106.9
176.7,29.5,Male,92.1
176.5,26.11,Male,81.3
194.2,20.03,Male,75.5
193.3,25.64,Male,95.8
187.9,29.01,Male,102.4
202.3,26.66,Male,109.1
190.6,26.53,Male,96.4
177.3,25.82,Male,81.2
186.3,28.41,Male,98.6
183.9,27.33,Male,92.4
170.6,29.81,Male,86.8
187.9,26.59,Male,93.9
178.3,21.79,Male,69.3
171.7,23.07,Male,68.0
187.5,25.37,Male,89.2
184.3,26.31,Male,89.4
183.8,19.01,Male,64.2
175.9,33.47,Male,103.6
186.4,29.73,Male,103.3
180.7,27.72,Male,90.5
193.4,27.32,Male,102.2
176.1,29.44,Male,91.3
186.8,24.84,Male,86.7
192.0,30.83,Male,113.7
182.5,20.49,Male,68.2
181.0,25.49,Male,83.5
184.7,22.12,Male,75.5
180.7,26.54,Male,86.7
187.5,25.49,Male,89.6
180.0,26.56,Male,86.1
186.1,26.92,Male,93.2
177.7,27.71,Male,87.5
181.1,26.12,Male,85.7
179.5,28.24,Male,91.0
176.6,26.22,Male,81.8
169.4,27.83,Male,79.9
190.0,27.5,Male,99.3
186.0,21.34,Male,73.8
177.2,25.7,Male,80.7
184.2,21.39,Male,72.6
177.4,30.07,Male,94.6
173.8,22.44,Male,67.8
177.4,18.72,Male,58.9
175.0,28.19,Male,86.3
182.6,23.75,Male,79.2
178.0,26.45,Male,83.8
177.4,27.89,Male,87.8
182.9,25.27,Male,84.5
176.2,23.76,Male,73.8
177.9,22.98,Male,72.7
179.1,19.77,Male,63.4
191.1,27.47,Male,100.3
186.8,29.29,Male,102.2
180.4,23.29,Male,75.8
181.6,24.67,Male,81.4
186.1,18.87,Male,65.4
188.5,25.74,Male,91.5
177.4,28.42,Male,89.4
193.5,34.55,Male,129.4
183.3,25.41,Male,85.4
193.4,33.19,Male,124.1
174.9,24.63,Male,75.3
190.0,30.26,Male,109.2
188.2,26.62,Male,94.3
184.9,16.58,Male,56.7
182.6,31.3,Male,104.4
181.5,19.34,Male,63.7
179.7,34.57,Male,111.6
188.2,31.25,Male,110.7
177.4,31.93,Male,100.5
186.3,33.66,Male,116.8
171.3,22.32,Male,65.5
181.9,26.65,Male,88.2
178.5,23.52,Male,74.9
178.5,26.39,Male,84.1
182.5,28.91,Male,96.3
182.8,34.89,Male,116.6
179.6,28.33,Male,91.4
185.3,21.66,Male,74.4
183.2,24.26,Male,81.4
167.8,23.53,Male,66.3
179.4,24.64,Male,79.3
179.7,35.02,Male,113.1
189.0,24.07,Male,86.0
181.2,25.55,Male,83.9
183.2,22.81,Male,76.6
182.8,20.31,Male,67.9
174.2,32.4,Male,98.3
178.1,26.19,Male,83.1
194.9,20.48,Male,77.8
186.9,22.88,Male,79.9
189.6,28.27,Male,101.6
180.9,23.91,Male,78.2
171.4,33.25,Male,97.7
183.3,28.78,Male,96.7
179.2,29.59,Male,95.0
186.2,26.88,Male,93.2
182.9,32.83,Male,109.8
184.7,27.75,Male,94.7
182.8,26.01,Male,86.9
184.5,30.53,Male,103.9
179.8,30.62,Male,99.0
177.3,26.09,Male,82.0
178.3,24.95,Male,79.3
170.7,28.59,Male,83.3
168.4,26.19,Male,74.3
173.4,24.9,Male,74.9
187.9,24.02,Male,84.8
175.4,28.51,Male,87.7
176.9,31.91,Male,99.9
181.3,30.31,Male,99.6
178.1,23.86,Male,75.7
179.7,25.39,Male,82.0
178.6,29.85,Male,95.2
175.6,32.49,Male,100.2
170.0,30.11,Male,87.0
175.5,26.84,Male,82.7
189.7,31.49,Male,113.3
185.8,26.71,Male,92.2
184.7,31.72,Male,108.2
190.5,32.36,Male,117.4
183.7,23.19,Male,78.3
174.2,28.1,Male,85.3
183.8,28.51,Male,96.3
172.4,24.44,Male,72.6
179.3,26.03,Male,83.7
170.4,26.84,Male,77.9
184.8,21.95,Male,75.0
195.8,25.65,Male,98.3
180.9,23.76,Male,77.8
183.3,27.64,Male,92.9
177.0,31.73,Male,99.4
184.3,27.33,Male,92.8
176.9,32.38,Male,101.3
185.5,29.1,Male,100.1
190.9,35.92,Male,130.9
184.2,28.95,Male,98.2
185.3,21.59,Male,74.1
182.6,22.83,Male,76.1
182.9,20.69,Male,69.2
188.2,26.52,Male,93.9
198.8,27.12,Male,107.2
170.8,23.7,Male,69.1
183.3,28.87,Male,97.0
191.5,23.14,Male,84.9
182.2,29.5,Male,97.9
176.8,28.9,Male,90.3
172.9,26.16,Male,78.2
182.8,27.53,Male,92.0
191.7,22.33,Male,82.1
169.6,31.61,Male,90.9
170.7,19.67,Male,57.3
181.6,22.13,Male,73.0
179.5,28.63,Male,92.2
180.8,22.86,Male,74.7
178.5,28.49,Male,90.8
184.5,25.76,Male,87.7
172.8,28.43,Male,84.9
182.4,24.84,Male,82.6
176.6,25.51,Male,79.6
177.2,22.86,Male,71.8
171.0,34.06,Male,99.6
178.5,17.47,Male,55.7
192.6,23.43,Male,86.9
176.1,29.12,Male,90.3
160.2,22.32,Male,57.3
184.5,28.25,Male,96.2
177.3,24.31,Male,76.4
182.3,23.46,Male,78.0
176.7,22.29,Male,69.6
173.9,28.29,Male,85.6
175.4,21.11,Male,64.9
184.2,22.01,Male,74.7
185.5,25.36,Male,87.3
183.3,26.31,Male,88.4
178.4,28.38,Male,90.3
177.9,29.95,Male,94.8
179.6,33.88,Male,109.3
175.3,23.89,Male,73.4
172.2,27.49,Male,81.5
184.8,32.19,Male,109.9
170.0,30.65,Male,88.6
187.1,23.9,Male,83.7
175.1,30.06,Male,92.2
181.1,22.61,Male,74.2
185.0,29.36,Male,100.5
178.6,32.13,Male,102.5
176.0,27.62,Male,85.6
179.6,25.33,Male,81.7
188.2,19.58,Male,69.4
172.6,23.73,Male,70.7
188.2,33.24,Male,117.7
168.9,31.49,Male,89.8
189.9,24.2,Male,87.3
191.8,32.97,Male,121.3
186.2,32.1,Male,111.3
189.6,28.44,Male,102.2
181.4,28.62,Male,94.2
181.3,26.44,Male,86.9
168.3,25.11,Male,71.1
175.4,26.41,Male,81.3
184.5,31.84,Male,108.4
179.6,23.57,Male,76.0
188.1,19.8,Male,70.1
178.9,28.36,Male,90.8
185.7,25.06,Male,86.4
173.3,31.58,Male,94.8
180.6,28.77,Male,93.8
185.8,32.55,Male,112.4
184.1,37.75,Male,127.9
173.3,26.62,Male,79.9
159.7,29.77,Male,75.9
175.4,26.99,Male,83.0
169.9,27.74,Male,80.1
184.4,23.5,Male,79.9
184.9,31.65,Male,108.2
178.6,38.53,Male,122.9
172.2,21.77,Male,64.6
